,text,label
0,"Milestones in Cataloging In the case of the present study, Dr.Lehnus was interested in applying a method - in a non-standard way for that method - to a type of literature that had not been addressed so far. He proposed to begin with a single monograph on the subject ""cataloging,"" apply the method of citation analysis to the references of that work, and determine whether a core literature on cataloging could be discovered in this way. There are innumerable examples of core literatures in scientific fields obtained from journal articles or through the Science citation index, but research via the monograph in non- scientific subjects has been minimal.",cisi
1,"childhood psychosis. a description is given of the diagnostic criteria put forward by creak and her associates in 1961 for what they have called 'schizophrenic syndrome of childhood'. psychotic reactions in childhood are grouped into: (1) childhood schizophrenia, (2) organic states with psychosis, (3) mental subnormality with psychosis, (4) sensory deprivation, (5) neurosis, and (6) manic-depressive psychosis. it is suggested that the generic term 'psychosis' is the best available, and a classification is presented and discussed.",med
2,"neonatal hepatitis or familial neonatal obstructive jaundice?. four siblings all of whom were boys with chronic obstructive jaundice are described. the onset of the jaundice varied from 1 day to 4 weeks after birth. two other boys and 2 girls in the same family are healthy. although in one of the 4 cases pathological findings were the same as in neonatal hepatitis ('giant cell hepatitis'), other possibilities could not be excluded. what has been described hitherto as giant cell hepatitis appears to be only a morphological picture, for which there must be several causes. it is concluded from the findings in the 4 patients that one of the possible causes of so-called giant cell hepatitis is an inborn error of metabolism.",med
3,"Handbook of Comparative Librarianship The first part, written by myself, deals with 'Comparative librarianship and comparative method' and is intended for both teachers of comparative librarianship and their students. It can be approached in a number of ways: The first three chapters outline comparative librarianship and the theoretical basis of its methodology against the wider background of other comparative sciences and the scientific method. The three chapters following are purely practical and explain the various steps of writing a comparative study. The last chapter is intended for teachers. The second part, compiled by Mrs. MacKee, is a bibliographical guide to the main sources on librarianship throughout the world. It draws on the bibliographies collected by comparative librarianship students in the course of their project work, on replies to a questionnaire sent to the various library associations of the world, and on Mrs. MacKee's own collection of references gathered over a number of years.",cisi
4,"Design and Evaluation of Information Systems The co-joining of ""design"" with ""evaluation"" that is called for by this chapter posed organizational and inclusion-exclusion problems for the author. In part, ""design"" and ""evaluation"" prescribe two separate sets of activities, the former pertaining to the planning, development, and testing of new information system structures and modification of existing structures, the latter to appraisals and assessments of operational systems and system components. However, ""design"" includes not only the formulation of goals and objectives for systems but also provisions for evaluation in accordance with expectations. ""Evaluation"" applies to testing design concepts and to trying out preliminary implementations for the purpose of improving initial designs, as well as to the appraisal of operating systems. Appraisals at any stage of system operability may yield data that indicate the need for system modifications that require redesign and assessment. Thus, portions of ""design"" and ""evaluation"" are closely interrelated, as Katter demonstrated in his 1969 review. ""Design"" and ""evaluation"" may be examined methodologically or with respect to outcomes of the application of methodologies. Increasingly, designers and evaluators have been acknowledging the dependence of outcomes on sound procedural conceptualizations. The current literature discloses research on the processes of design and evaluation as well as on their products.",cisi
5,"a study of inviscid flow about air foils at high supersonic speeds . a study of inviscid flow about air foils at high supersonic speeds . steady flow about curved airfoils at high supersonic speeds is investigated analyticially . with the assumption that air behaves as a diatomic gas, it is found the the shock-expansion method may be used to predict the flow about curved airfoils up to extremely high mach numbers, provided the flow deflection angles are not too close to those corresponding to shock detachment . this result applies not only to the determination of the surface pressure distribution, but also to the determination of the whole flow field about an airfoil . verification of this observation is obtained with the aid of the method of characteristics by extensive calculations of the pressure gradient and shock-wave curvature at the leading edge, and by calculations of the pressure distribution on a 10-percent-thick biconvex airfoil at 0 angle of attack . an approximation to the shock-expansion method for thin airfoils at high mach numbers is also investigated and is found to yield pressures in error by less than 10 percent at mach numbers above three and flow deflection angles up to 25 . this slender-airfoil method is relatively simple in form and thus may prove useful for some engineering purposes . effects of caloric imperfections of air manifest in disturbed flow fields at high mach numbers are investigated, particular attention being given to the reduction of the ratio of specific heats . so long as this ratio does not decrease appreciably below to include the effects of these imperfections, should be substantially as accurate as for ideal-gas flows . this observation is verfied with the aid of a generalized shock-expansion method and a generalized method of characteristics employed in forms applicable for local air temperatures up to about 5000 rankine . the slender-airfoil method is modified to employ an average value of the ratio of specific heats for a particular flow field . this simplified method has essentially the same accuracy for imperfect-gas flows as its counterpart has for ideal-gas flows . an approximate flow analysis is made at extremely high mach numbers where it is indicated that the ratio of specific heats may approach close to 1 . in this case, it is found that the shock-expansion method may be in considerable error,. however, the busemann method for the limit of infinite free-stream mach number and specific-heat ratio of 1 appears to apply with reasonable accuracy .",cran
6,"ISBD Standard or Secret? The controversial ISBD will mean radical changes in descriptive cataloging practice if put into operation, as planned, by the Library of Congress. Users of LC catalog cards will require retraining: all reference librarians will experience an immediate and continuing demand for explanation of the new catalog cards to users; those large public and research libraries with computer-based systems will require costly modifications of computer programs. Yet the ISBD (International Standard Bibliographic Description) is destined to be implemented by the Library of Congress with the sanction of ALA but without even being considered by the recognized standards associations (ISO, ANSI), to say nothing of the other professional and information industry organizations.",cisi
7,"experimental study of the vibrations of a circular cylindrical shell . experimental study of the vibrations of a circular cylindrical shell . an apparatus is described which permits the mode shape of a vibrating circular cylindrical shell to be obtained quite easily . these measurements are made without contacting the cylinder and can be converted to actual lineal values . a representative number of results obtained with such a system are shown to illustrate the relationship between the nodal pattern and frequency in a cylinder as well as the effect of internal pressure on these frequencies . finally, comparisons are made between these results and timoshenko theory and an appropriate shell theory .",cran
8,"thermal effects on a transpiration cooled hemisphere . thermal effects on a transpiration cooled hemisphere . an approximate method is used to obtain the injection distribution which would exist on an isothermal, transpiration-cooled hemisphere in a supersonic stream . this distribution is the same for both air and helium injection, and is independent of the blowing level . a model having this distribution was tested in the naval supersonic laboratory wind tunnel at a mach number of 3.53 . it is concluded that the design technique is reasonably accurate . data taken near the nose are compared with the theories for air and helium injection . the agreement in the case of the reduction in heat-transfer coefficient is good . the values of insulated wall temperature obtained near the nose with helium injection are 8 percent above the local stagnation temperature, and largely independent of injection rate . it is believed that this phenomenon may be attributed to the thermal diffusion of the helium within the boundary layer . air injection causes a slight reduction in the insulated wall temperature . it is shown that injection of either air or helium at the hemisphere nose considerably reduces the heat flux at the surface . the additional reduction in heat flux resulting from helium injection as opposed to air injection, and predicted by existing theory, is largely absent .",cran
9,"pressure measurements at supersonic speeds on three uncambered conical wings of unit aspect ratio . pressure measurements at supersonic speeds on three uncambered conical wings of unit aspect ratio . pressure measurements were made at mach numbers between 1.3 and 2.8 over a range of incidences on three simple models representing thick conical uncambered wings with sharp leading edges . these tests form part of an investigation into the effects of thickness and camber on slender wings . the aspect ratio of the models was unity in each case, and the spanwise cross sections were bounded by .. the measured pressure distributions are presented, along with overall lift and drag (excluding skin friction and base drag) obtained by integration .",cran
